bmrs_id,repd_id,name,capacity,turbine_capacity,turbine_count,lon,lat,gen_type
['PGBIW-1'],[5637],Pogbie Wind Farm,9.6,"[0.8, 8.5]","[6.0, 6.0]",-2.842106069,55.83944765,onshore wind farm
['PNYCW-1'],[4595],Pen y Cymoedd,228,[3.0],[76.0],-3.6128202,51.6877062,onshore wind farm
"['RCBKO-1', 'RCBKO-2']","[2515, 6501]",Race Bank Wind Farm,573,"[6.0, 6.0]","[46.0, 45.0]",0.8500646,53.2791854,offshore wind farm
['RHYL-1'],[2495],Rhyl Flats,90,[3.6],[25.0],-3.6493835,53.3798271,offshore wind farm
"['RMPNO-1', 'RMPNO-2']",[2520],Rampion Wind Farm,400,[5.0],[116.0],-0.2791214,50.6683775,offshore wind farm
"['ROTHW-1', 'CAIRW-1', 'CAIRW-2']","[3951, 3534]",Rothes Wind Farm,,"[2.3, 2.3]","[18.0, 22.0]",-3.3737895,57.5324389,onshore wind farm
"['RREW-1', 'RRWW-1']","[2497, 2496]",Robin Rigg Wind Farm,174,"[3.0, 3.0]","[28.0, 30.0]",-3.7134969,54.7534076,offshore wind farm
['RSHLW-1'],[4051],Rosehall Wind Farm,24.7,[1.3],[19.0],-4.5330597,57.9953967,onshore wind farm
['SAKNW-1'],[6703],Sandy Knowe Wind Farm,86.4,[3.4],[24.0],-4.051335174,55.37215061,onshore wind farm
['SANQW-1'],[4441],Sanquhar Community Wind Farm,31.05,[3.4],[9.0],-4.0502224,55.3446407,onshore wind farm
"['SGRWO-5', 'SGRWO-2', 'SGRWO-1', 'SGRWO-3', 'SGRWO-4', 'SGRWO-6']",[2540],Seagreen Wind Farm,1075,[9.2],[57.0],-1.926634029,56.63550081,offshore wind farm
"['SHRSO-1', 'SHRSO-2']",[2512],Sheringham Shoal Offshore Wind Farm,317,[3.6],[88.0],1.1474616,53.1355458,offshore wind farm
['SOKYW-1'],[4586],South Kyle Wind Farm,240,[4.8],[50.0],-4.293170303,55.31733844,onshore wind farm
"['STLGW-1', 'STLGW-2', 'STLGW-3']",[4597],Stronelairg Wind Farm,228,[3.6],[66.0],-4.4399358,57.1002503,onshore wind farm
['STRNW-1'],[4625],Strathy North Wind Farm,67.7,[2.05],[33.0],-4.0483493,58.4904395,onshore wind farm
['TDBNW-1'],[3457],Toddleburn Wind Farm,27.6,[2.3],[12.0],-2.8733758,55.7691495,onshore wind farm
"['THNTO-1', 'THNTO-2']",[2499],Thanet Wind Farm,300,[3.0],[100.0],1.6287329,51.4308241,offshore wind farm
"['TKNEW-1', 'TKNWW-1']",[2532],Triton Knoll Wind Farm,857,[9.5],[90.0],0.845075,53.4708167,offshore wind farm
['TLYMW-1'],[4599],Tullymurdoch Wind Farm,14.4,[2.05],[7.0],-3.2997717,56.6711747,onshore wind farm
['TMNCW-1'],[4420],Tom na Clach Wind Farm,,[3.0],[13.0],-3.8916707,57.391576,onshore wind farm
['TRLGW-1'],[4073],Tralorg Wind Farm,18.8,[2.5],[8.0],-4.8043352,55.2357559,onshore wind farm
"['TULWW-1', 'TULWW-2']","[3190, 4365]",Tullo Wind Farm,42.5,"[2.5, 2.5]","[7.0, 10.0]",-2.4046161,56.8356287,onshore wind farm
['TWSHW-1'],[6590],Twentyshilling Hill Wind Farm,37.8,[4.2],[9.0],-3.900475413,55.31976628,onshore wind farm
"['WDNSO-1', 'WDNSO-2']",[2519],West of Duddon Sands Wind Farm,389,[3.6],[108.0],-3.4702945,53.9843164,offshore wind farm
['WDRGW-1'],[7562],Windy Rig Wind Farm,43,[3.0],[12.0],-4.1742576,55.2734679,onshore wind farm
['WHIHW-1'],[4502],Whiteside Hill Wind Farm,27,[2.3],[11.0],-4.0232592,55.3253487,onshore wind farm
"['WHILW-1', 'WHILW-2']","[2757, 3489, 3981]",Whitelee Wind Farm,539,"[3.0, 2.3, 3.0]","[39.0, 140.0, 36.0]",-4.2667601,55.6741248,onshore wind farm
['WISTW-2'],[4431],Brockloch Rig Wind Farm,90,[3.0],[30.0],-4.1975045,55.2974343,onshore wind farm
"['WLNYO-2', 'WLNYO-3', 'WLNYO-4', 'WLNYW-1']","[2500, 2506, 2533]",Walney Wind Farm,1026.2,"[3.6, 3.6, 6.0]","[51.0, 51.0, 110.0]",-3.6821979,54.0836666,offshore wind farm
['WTMSO-1'],[2545],Westermost Rough Wind Farm,210,[6.0],[35.0],0.14975,53.8058334,offshore wind farm
[],[2485],Beatrice Demonstrator,10,[5.0],[2.0],-2.8844005,58.2524573,
[],[2488],Gunfleet Sands - (Demo) Extension,12,[6.0],[2.0],1.2196912,51.7318894,
[],[2489],Gunfleet Sands II,64.8,[3.6],[18.0],1.2462015,51.7268796,
[],[2491],Inner Dowsing,97.2,[3.6],[27.0],0.4509489,53.1688138,
[],[2492],Kentish Flats,90,[3.0],[30.0],1.0878625,51.4559547,
[],[2493],Lynn,97.2,[3.6],[27.0],0.4509489,53.1688138,
[],[2494],North Hoyle,60,[2.0],[30.0],-3.4480584,53.4178092,
[],[2498],Scroby Sands,60,[2.0],[30.0],1.788406,52.6443206,
[],[2504],Kentish Flats 2,49.5,[3.3],[15.0],1.0878625,51.4559547,
[],[2514],Teeside Offshore Wind Farm,62.1,[2.3],[27.0],-1.0932394,54.6448698,
[],[2523],Blyth OffshoreWind Test Site,41.5,[8.3],[5.0],-1.4033,55.1306,
[],[2559],Mynydd Gorddu Wind Farm,10.2,[0.54],[19.0],-3.9610789,52.462986,
[],[2563],Cefn Croes Wind Farm,58.5,[1.5],[39.0],-3.7397285,52.4082409,
[],[2564],Carno 'B' Wind Farm,16.8,[0.6],[28.0],-3.5971467,52.5527928,
[],[2565],Carno 'A' Wind Farm,16.8,[0.6],[28.0],-3.5971467,52.5527928,
[],[2566],Cemmaes 'B' Wind Farm,3.4,[0.56],[6.0],-3.6725281,52.6506826,
[],[2567],Trysglwyn Wind Farm,5.6,[0.4],[14.0],-4.3462507,53.3735233,
[],[2568],Hafoty Ucha '2' and '3' Wind Turbine,2.6,[0.85],[3.0],-3.5858996,52.9967894,
[],[2574],Royal Seaforth Dock Wind Farm,3,[0.5],[6.0],-3.0346471,53.460426,
